t,x,y,,,,
0.00E+00,-1.89E-02,-4.22E-02,,,,
3.33E-03,-1.86E-02,-4.40E-02,,,,
7.50E-03,-1.89E-02,-4.22E-02,,,,
1.17E-02,-1.89E-02,-4.23E-02,,,,
1.58E-02,-1.90E-02,-4.26E-02,,,,
2.83E-02,-1.89E-02,-4.32E-02,,,,
3.25E-02,-1.86E-02,-4.40E-02,,,,
3.67E-02,-1.68E-02,-4.75E-02,,,,
4.09E-02,-1.59E-02,-4.90E-02,,,,
4.50E-02,-1.47E-02,-5.07E-02,,,,
5.75E-02,-1.33E-02,-5.24E-02,,,,
6.17E-02,-1.19E-02,-5.42E-02,,,,
6.59E-02,-6.19E-03,-5.99E-02,,,,
7.00E-02,-4.40E-03,-6.19E-02,,,,
7.42E-02,-2.56E-03,-6.34E-02,,,,
7.84E-02,-3.06E-04,-6.51E-02,,,,
8.25E-02,1.96E-03,-6.68E-02,,,,
8.67E-02,5.22E-03,-6.87E-02,,,,
9.09E-02,8.19E-03,-7.05E-02,,,,
9.50E-02,1.16E-02,-7.21E-02,,,,
9.92E-02,1.50E-02,-7.34E-02,,,,
1.03E-01,1.89E-02,-7.46E-02,,,,
1.08E-01,2.32E-02,-7.59E-02,,,,
1.12E-01,2.74E-02,-7.68E-02,,,,
1.16E-01,3.17E-02,-7.71E-02,,,,
1.20E-01,3.58E-02,-7.71E-02,,,,
1.24E-01,4.01E-02,-7.67E-02,,,,
1.28E-01,4.41E-02,-7.60E-02,,,,
1.33E-01,4.77E-02,-7.50E-02,,,,
1.37E-01,5.13E-02,-7.39E-02,,,,
1.41E-01,5.44E-02,-7.26E-02,,,,
1.45E-01,5.74E-02,-7.12E-02,,,,
1.58E-01,5.99E-02,-6.98E-02,,,,
1.62E-01,6.21E-02,-6.83E-02,,,,
1.66E-01,6.67E-02,-6.48E-02,,,,
1.70E-01,6.77E-02,-6.40E-02,,,,
1.74E-01,6.85E-02,-6.34E-02,,,,
1.78E-01,6.90E-02,-6.31E-02,,,,
,,,,,,
,,,,,,
